"Participant2","Participant1"
4158,3
1688,0
1740,0
1804,0
1631,0
1357,0
1207,0
1043,0
878,0
2072,12
730,0
920,0
918,0
822,0
26273,20149
916,918
842,874
769,1013
656,1253
491,1468
339,1624
193,1598
100,1451
74,1284
114,1202
224,1123
442,1172
804,1245
1181,1424
1614,1535
2045,1687
2381,1798
2433,2048
2636,2313
2856,2547
3161,2770
3390,3132
3413,3371
3393,3782
3271,4207
3150,4464
2996,4647
2749,4792
2567,4831
2429,4919
2387,5128
2228,4925
2083,4673
1949,4796
1843,4932
1770,5007
1751,4886
1766,4718
1745,4732
1776,4693
1686,4667
1489,4649
1323,4471
1251,4249
1249,4269
1076,4376
949,4266
924,4014
919,3530
774,2923
669,2293
670,1635
672,1207
485,916
221,819
103,1111
102,1455
162,1781
294,1660
567,1924
159,1508
523,1934
142,1370
779,1485
659,1436
1344,1403
1326,1265
1134,879
534,937
848,1090
927,1154
976,1291
993,1268
1247,1005
1467,822
1880,676
2340,609
2811,543
3470,440
4255,387
5139,450
5882,512
6213,677
6076,716
6145,709
5924,707
5945,699
5746,781
5559,913
5266,1146
4858,1195
4643,1195
4350,961
4146,779
3876,650
3671,622
3342,567
3067,536
2930,833
2711,797
2517,588
2363,582
2143,576
1982,591
1848,544
1685,458
1481,335
1314,186
1218,180
1104,193
1095,178
1013,258
882,359
890,366
1049,417
1156,532
1350,607
1389,727
1322,690
1405,640
1270,715
1197,743
1266,874
1429,987
1486,1077
1484,1170
1352,1304
1333,1320
1327,1436
1229,1514
1001,1535
844,1488
749,1401
666,1444
543,1522
548,1439
656,1166
636,998
611,1080
564,1333
570,1640
503,1892
502,2102
488,1399
570,1102
547,1138
556,1024
735,764
1160,490
1424,337
1366,212
1378,280
1561,299
1638,212
1807,248
2126,403
2487,570
2770,532
2851,667
2903,597
3016,659
2900,745
2833,504
2788,479
2588,558
2226,592
1906,568
1671,573
1494,664
1340,683
982,747
717,824
549,825
729,782
1161,682
1545,646
1964,521
2069,473
2178,407
2292,340
2450,245
2610,232
2670,259
2545,278
2406,335
2236,282
1931,271
1662,279
1488,290
1191,299
896,326
622,301
437,239
387,179
458,204
564,327
693,595
854,769
980,851
1082,723
1136,317
1060,725
903,1513
817,1649
638,1188
456,643
293,476
181,628
195,581
267,280
300,86
304,63
212,188
126,325
41,457
32,500
59,387
44,255
40,558
38,552
53,64
67,562
70,642
93,478
94,111
110,72
99,111
90,94
81,68
86,70
81,74
88,64
96,41
92,54
69,91
81,132
99,143
173,99
289,78
287,85
190,145
191,285
228,378
396,488
547,509
521,563
311,534
164,490
187,406
191,292
215,224
292,133
309,93
356,82
388,82
407,78
419,115
423,157
631,194
847,200
983,253
922,342
861,395
622,536
428,738
442,991
358,1260
221,1426
122,1240
30,1078
20,1633
18,1987
9,1931
16,1853
18,1915
30,1879
70,1450
123,838
135,665
137,807
110,863
58,885
46,848
38,726
45,536
43,370
50,171
55,74
46,55
49,55
47,64
42,78
36,114
74,139
105,156
162,164
228,144
208,82
136,65
114,68
76,55
15,42
2,28
6,24
8,39
18,56
24,82
34,97
32,125
37,142
46,105
44,79
36,67
27,64
45,72
78,94
115,101
121,110
119,136
209,166
264,167
346,173
230,140
125,117
151,132
222,149
215,179
308,164
222,185
125,239
85,205
105,241
176,273
230,270
310,248
280,116
224,175
140,226
49,262
24,275
36,262
66,416
81,516
127,495
165,483
192,440
239,338
234,297
203,329
123,310
41,317
38,283
85,251
89,366
56,294
20,144
3,152
7,183
3,136
9,103
30,80
